id,tieude,dientich,khuvuc
,"Bán nhà đất Mễ Trì, Quận Nam Từ Liêm: 50m, MT: 4m, ô tô. Giá: 3,4 tỷ. 0944828386",50 m²,"Quận Nam Từ Liêm, Hà Nội"
,"Bán nhà đất Mễ Trì, Quận Nam Từ Liêm: 50m, MT: 4m, ô tô. Giá: 3,4 tỷ. 0944828386",50 m²,"Quận Nam Từ Liêm, Hà Nội"
,"Bán nhà mặt phố Xã Đàn, Đống Đa: 65m, 7 tầng, MT: 4,2m. GIá: 39 tỷ. LH: 0944828386",65 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Trích Sài, Tây Hồ: 70m, 5 tầng, Mt: 4,2m, Giá: 29,5 tỷ. 0944828386",70 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà mặt phố Nhật Chiêu, Tây Hồ: 85m, xây 7 tầng, nhà mới. Giá: 35 tỷ. LH: 0944828386",85 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà Mặt Phố Thái Thịnh, Đống Đa: 120m, 5 tầng, MT: 6m. Giá: 31,5 tỷ. LH: 0944828386 ",120 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Tôn Đức Thằng, Đống Đa: 30m, 4T, MT: 5,5m, lô góc, KD, ô tô. GIá: 4,8 tỷ",30 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Đặng Tiến Đông, Đống Đa:45m, 5T, MT: 6M, KD, Ô tô. 10,7 tỷ.LH: 0944828386",45 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà phố Thái Hà, Đống Đa: 100m, MT:10m. 18 tỷ. LH: 0944828386",100 m²,"Quận Đống Đa, Hà Nội"
,"Bán Mặt Phố Lạc Long Quân, Tây Hồ: 200m. MT: 5,2m, 2 mặt ngõ,  Gía: 46 tỷ. LH: 0944828386",200 m²,"Quận Tây Hồ, Hà Nội"
,"Bán đất tặng nhà phố pháo đài láng, đống đa: 115m, MT: 4,5m.16 tỷ: 0944828386",115 m²,"Quận Đống Đa, Hà Nội"
,"Bán đất ngõ 445 Lạc Long Quân, Tây Hồ: : 143m2, MT: 6,5. Giá 9 tỷ. LH: 0944828386",143 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà ngõ 68 Cầu Giấy: 65m, 6 tầng, MT: 5,4m, ô tô 10m,KD, Giá: 6,3 tỷ. LH: 0944828386",65 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà Nguyễn Chí Thanh, Đống Đa: 41m, 6 tầng, MT: 4,2m, thang máy. GIá: 6,6 tỷ. LH: 0944828386",41 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà tam trinh, hoàng mai: 45m, 4 Tầng, MT: 4,2m, ô tô 70m. Gía: 3,35 tỷ. 0944828386",45 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán đất tặng nhà phố Nhân Hoà, Thanh Xuân: 45m, 4T, mt:4m, ô tô. KD. 3,4 tỷ.",45 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán đất tặng nhà phố Nhân Hoà, Thanh Xuân: 45m, 4T, mt:4m, ô tô. KD. 3,4 tỷ.0944828386",45 m²,"Quận Thanh Xuân, Hà Nội"
,"Nhượng 3125m định xây biệt thự sân vườn gần Phố Nỷ Sóc Sơn. Rộng rãi, vuông, phong thủy tốt, đẹp",3125 m²,"Huyện Sóc Sơn, Hà Nội"
,"Nhượng hơn 16 nghìn m đất NN đến năm 2066 rất đẹp gần quốc lộ tại Phước Thành, Bác Ái, Ninh Thuận",16500 m²,"Huyện Bác Ái, Ninh Thuận"
,mình cần bán gấp lô đất bà rịa vũng tàu  để định cứ liên hệ gấp 0925142145,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,nhanh tay để kiếm lời từ bìa rịa LH 0925142145,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,mình cần bán gấp lô đất bà rịa vũng tàu  để định cứ liên hệ gấp 0925142145,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,mình cần bán gấp lô đất bà rịa vũng tàu  để định cứ liên hệ gấp 0925142145,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,nhanh tay để có một lô đất đầu tư cực tốt ở bà rịa..,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,đàu tư bà rịa là thời điểm đúng đắn nhất hiện nay,180 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,"Hòa Long Park giá thấp hơn thị trường 20%, có SHR, cạnh nút giao cao tốc BH - VT, Hương Lộ 2",112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,đầu tư bà rịa không ở đây thì ở đâu?,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,Đầu tư Hòa Long Park chưa bao giờ sai giá chỉ 10tr/m2 gần kdc Lan Anh,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,ĐẤT NỀN NGHĨ DƯỠNG TTTP BÀ RỊA 112M2 GIÁ CHỈ 10TRIỆU/M2 CÓ SỔ HỒNG ,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,ĐẤT NỀN NGHĨ DƯỠNG TTTP BÀ RỊA 112M2 GIÁ CHỈ 10TRIỆU/M2 CÓ SỔ HỒNG ,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,Đầu tư đất nền ngay Hòa Long Park giá chỉ 10tr/m2 pháp lí đầy đủ,112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,Giải pháp chống sét. Vật liệu giảm điện trở đất ( bột GEM) SAN EARTH M5C - Sankosha,100 m²,"Quận Thanh Xuân, Hà Nội"
,Phân khu The Sapphire 2 – Vinhomes Ocean Park – Cuộc sống xanh năng động tại thành phố biển hồ,100 m²,"Huyện Gia Lâm, Hà Nội"
,"Phân khu The Sapphire 1 Vinhomes Ocean Park – Năng động, công nghệ, linh hoạt và nhẹ nhàng",100 m²,"Huyện Gia Lâm, Hà Nội"
,"Vinhomes Ocean Park - Thành phố biển hồ - Đại lý F1, Giá tốt, hiểu việc. Trung thực - tận tậm",100 m²,"Huyện Gia Lâm, Hà Nội"
,"Bán nhà 3 tầng xây kiên cố tại Bồ Đề, Long Biên, Hà Nội. Sổ đỏ chói chang, điện nước đầy đủ.",33.1 m²,"Quận Long Biên, Hà Nội"
,Đất nền thị trấn Thủ Thừa - liền kề khu công nghiệp Thủ Thừa,100 m²,"Huyện Thủ Thừa, Long An"
,Bán Tòa Nhà 8 Tầng Thang Máy Mặt Phố Vũ Tông Phan Kinh Doanh Vỉa Hè 96m2. LH 0886897778,96 m²,"Quận Thanh Xuân, Hà Nội"
,Bán Đất Nền mb3213 Quảng Trạch-Quảng Xuơng-Thanh Hóa,125 m²,"Huyện Quảng Xương, Thanh Hóa"
,Bán đất mặt tiền Quốc lộ 1A Tiền Giang . ĐT: 4.6x46m,212 m²,"Huyện Châu Thành, Tiền Giang"
,"Siêu phẩm view cực đẹp – Nhà Thái Hà – Thang Máy – 3 ô tô tránh – Kd – Dt 65 m, 7 tầng.",68 m²,"Quận Đống Đa, Hà Nội"
,Park Hill - Siêu phẩm 12 lô đất nền biệt thự tại thành phố Huế,500 m²,"Huyện Hương Thủy, Thừa Thiên Huế"
,"Bán gấp nhà HXH Huỳnh Tịnh Của, Quận 3, 120m2, giá 17 tỷ",120 m²,"Quận 3, Hồ Chí Minh"
,Căn hộ chung cư Bình Trưng 44m2,44 m²,"Quận 2, Hồ Chí Minh"
,"Pháp lý rõ ràng, thổ cư sẵn sàng, đất nền trung tâm ngay thành phố Bà Rịa giá chỉ 9tr/m2",155 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,Chỉ 650tr sở hữu lô đất 180m2 hai mặt tiền ngay trung tâm Phú Mỹ ,180 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,Đất TT Cam Lâm. Vị trí đẹp. Giá chỉ 750 triệu/ nền,80 m²,"Cam Lâm, Khánh Hòa"
,Hòa Long Park nơi tiên phong đầu tư ngay trung tâm Bà Rịa giá chỉ 9tr/m2,155 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,Đừng đầu tư bất động sản nếu chưa xem ở Hòa Long Park giá chỉ 9tr/m2,155 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,"Bán lỗ lô đất Kdc Lan Anh 4 giá chỉ 1,480 tỉ có SHR",100 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,"BÁN GẤP LÔ ĐẤT XÃ HÒA LONG, GẦN BỆNH VIỆN 700 GIƯỜNG",112 m²,"Thị Xã Bà Rịa, Bà Rịa Vũng Tàu"
,PHÂN LÔ - Ô Tô 256.6 Thanh Bình 52m MT6 giá chỉ 4 tỷ.,52 m²,"Quận Hà Đông, Hà Nội"
,ĐỒNG PHÚ 1000m2 chỉ 525tr,1000 m²,"Huyện Đồng Phú, Bình Phước"
,"Chính chủ bán căn hộ Goldenpalace Mễ Trì,Tháp C, DT 118m2. Gía 27 tr/m2.Hướng ĐN.LH:  0987055012.",118 m²,"Quận Nam Từ Liêm, Hà Nội"
,NhÀ PhỐ 1trệt 1lầu Chính CHỦ CHỢ rẠCH KIến bán 720tr SỔ HỒNG rIêng cÓ ThƯơng lưỢng,72 m²,"Huyện Cần Đước, Long An"
," Lô GÓC ChÍNH ChỦ 180m2, SỔ HỒNG RIÊNG 1tỷ700 GẦN Chợ đÊM ĐỨC HÒA Có thƯƠNG LưỢnG",180 m²,"Huyện Đức Hòa, Long An"
,"Căn hộ IDICO, Giá ưu đãi trong tuần lễ vàng chỉ từ 670tr/căn view đẹp",37 m²,"Thành phố Biên Hòa, Đồng Nai"
,"Đất nền và nhà phố mặt tiền đường Tôn Đức Thắng lộ giới 80m, Nhơn Trạch, Đồng Nai",85 m²,"Huyện Nhơn Trạch, Đồng Nai"
,"Bán nhà chính chủ sổ đỏ, ô tô đỗ cửa, thuận tiện đi lại, kinh doanh",64 m²,"Huyện Thanh Trì, Hà Nội"
,"Bán căn hộ khoáng nóng Wyndham Thanh Thủy từ 880tr/căn, cho thuê 25tr/tháng",33 m²,"Huyện Thanh Thủy, Phú Thọ"
,"Đất nền 91m2 đường Thoại Ngọc Hầu, TT. Núi Sập",91 m²,"Huyện Thoại Sơn, An Giang"
,"Mặt tiền Phạm Thế Hiển, 50m2, 4 tầng, 5PN, mà chỉ 7 tỷ rưỡi.",50 m²,"Quận 8, Hồ Chí Minh"
,"Bán gấp nền đất sổ đỏ tại dự án Ecosun, Nhơn Trạch, Đồng Nai",85 m²,"Huyện Nhơn Trạch, Đồng Nai"
,"Officetel central premium, trung tâm quận 8, giá 1,5 tỷ/căn phù họp với giới trẻ/người độc thân.",38 m²,"Quận 8, Hồ Chí Minh"
,"Chính chủ bán gấp nhà Nguyễn Văn Công Phường 3 quận Gò Vấp, 40m2, 3tỷ7.",40 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"GẤP! Cần tiền có nhu cầu bán 01 căn Shop Villa An Phú chỉ 12 tỉ, triết khấu cao",160 m²,"Quận Hà Đông, Hà Nội"
,"Bán gấp nhà HXH Nguyễn Đình Khơi, Tân Bình, 5 x 22m, giá chỉ 10,2 tỷ",120 m²,"Quận Tân Bình, Hồ Chí Minh"
,Bán Gấp Nhà đẹp Phố Nguyễn Trãi - Thanh Xuân chỉ nhỉnh 4 tỶ,45 m²,"Quận Thanh Xuân, Hà Nội"
,"Chính chủ bán căn hộ Goldenpalace Mễ Trì,Tháp C, DT 116m2. Đầy đủ đồ.Hướng ĐN.LH:  0987055012.",116 m²,"Quận Nam Từ Liêm, Hà Nội"
,"Bán 38m đất P Thượng Cát, ngõ thông đường ô tô giá đầu tư.",38 m²,"Quận Bắc Từ Liêm, Hà Nội"
,Bán Đất Hà Liễu - Quế Võ 1 - Bắc Ninh,74 m²,"Huyện Quế Võ, Bắc Ninh"
,"Nhà đẹp phố Hồng Tiến, quận Long Biên, vị trí đẹp, ô tô vào nhà, giá chỉ 8 tỷ.",70 m²,"Quận Long Biên, Hà Nội"
,"Suất nội bộ CĐT căn 2PN Precia trung tâm Q.2 giá hấp dẫn, tặng gói nội thất 250tr",76 m²,"Quận 2, Hồ Chí Minh"
,MỞ BÁN DỰ ÁN TRUNG TÂM QUẢNG NGÃI GIÁ CHỈ TỪ 590 TRIỆU SỞ HỮU NGAY,100 m²,"Huyện Tư Nghĩa, Quảng Ngãi"
,BÁN NHÀ BÙI VIỆN-QUẬN 1- MỚI- CỰC HIẾM- KHU VIP- DT 53M2- 4 TẦNG - 12.3 TỶ,53 m²,"Quận 1, Hồ Chí Minh"
,"Bán nhà riêng mặt tiền đường nội bộ Xã Tân Kiên, Huyện Bình Chánh",82.5 m²,"Huyện Bình Chánh, Hồ Chí Minh"
,Bán căn hộ chung cư tầng 8 nhà CT4 khu đô thị mới Trung Văn,111 m²,"Quận Nam Từ Liêm, Hà Nội"
,Covid kẹt tiền cần bán gấp 2 lô đất xây trọ ngay KCN Phước Đông,177 m²,"Huyện Gò Dầu, Tây Ninh"
,Nhỉnh 2 Tỷ 55m2 x 3Tầng Cực Hiếm  Tại Thụy Khuê- Tây hồ ,53 m²,"Quận Tây Hồ, Hà Nội"
,"Đất Phường Hắc Dịch 2 Sào 3, 50x44M Có Sẳn 100M2 Đất Ở Giá 5.6 Tỷ LH Lành",2303 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,"Cần bán nhà Hòa Trung, Vĩnh Hòa, Nha Trang giá chỉ 2.5 tỷ",105 m²,"Thành Phố Nha Trang, Khánh Hòa"
,"Bán nhà chung cư Trương Định, trung tâm Quận 3, thiết kế đẹp dạng loft house, 3PN 2WC, 100m2",100 m²,"Quận 3, Hồ Chí Minh"
,Khu đô thị nghĩ dưỡng cao cấp Lavilla Green City ,100 m²,"Thị Xã Tân An, Long An"
,"Bán nhà Tân Bình Cách Mạng Tháng Tám 60M, giá chỉ 8.5 Tỷ LH Cao Văn Giàu 0933227978",180 m²,"Quận Tân Bình, Hồ Chí Minh"
,Căn hộ 2PN đối diện AEON Mall Hà Đông,49.75 m²,"Quận Nam Từ Liêm, Hà Nội"
,Bán nhà HXH tránh Phan Huy Ích Gò Vấp giá chỉ 4 tỷ.,48 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Bán gấp nhà Nguyễn Trãi- Quận 5- Hẻm 4m- chỉ 4 tỷ 95,30 m²,"Quận 5, Hồ Chí Minh"
,"Bán nhà vi bằng hẻm 457 Huỳnh Tấn Phát quận 7,DT 4x5, 2lầu giá 1,85 tỷ ",20 m²,"Quận 7, Hồ Chí Minh"
,Bán đất thổ cư 206 m2 Sổ đỏ chính chủ gần UBND Phương Đông – Uông Bí,206 m²,"Thị Xã Uông Bí, Quảng Ninh"
,"Bán nhà Đẹp, Ở Ngay, Lô Góc 2 mặt ngõ, Gần Phố Tôn Đức Thắng, Đống Đa. MT 4.9m. Giá 5.3 tỷ",48 m²,"Quận Đống Đa, Hà Nội"
,Bán gấp căn nhà MT Kinh Doanh buôn bán đa ngành nghề TP Thuận An,70.1 m²,"Thị xã Thuận An, Bình Dương"
,"Siêu hiếm phố Bạch Mai giá 3tỷ4, mặt tiền 6m. Xách vali về ở ngay.",36 m²,"Quận Hai Bà Trưng, Hà Nội"
,* Bán Gấp nhà mặt tiền đường phan văn trị bình thạnh 94m2,94 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,Cần bán nhanh nhà kinh doanh Văn phú - Hà đông,50 m²,"Quận Hà Đông, Hà Nội"
,"Giá căn hộ tốt nhất, không gian đẹp , tiện ích số 1 chung cư  thanh hóa",51 m²,"Thành phố Thanh Hóa, Thanh Hóa"
,"Bán đất khu công nghiệp hòa phú, long hồ, Vĩnh Long",35850 m²,"Long Hồ, Vĩnh Long"
,"Chính chủ. Cần Bán GẤP ĐẤT 5x26m Full Thổ đường nhựa xe tải, đường thông cách Nguyễn Văn Khạ 70m",133 m²,"Huyện Củ Chi, Hồ Chí Minh"
,"bán gấp biêt vigracra đại mỗ mặt đường 70,dt165m2,mt10m,đường 40m,giá bán siêu rẻ",165 m²,"Quận Nam Từ Liêm, Hà Nội"
,"SẦM UẤT!!! Bán nhà cấp 4 mặt chợ Vồ, Hà Đông, 80m2, 7.8 tỷ ",80 m²,"Quận Hà Đông, Hà Nội"
,"Bán Liền Kề ở KĐT Tân Tây Đô 87,5m2 cách đường 32 50m 0974190536",87.5 m²,"Huyện Đan Phượng, Hà Nội"
,"Cần bán Đất Phường 7, TP Bến Tre, đường Nguyễn Văn Tư diện tích 205.5m2.",205 m²,"Bến Tre, Bến Tre"
,Bán nhà 861 TRẦN XUÂN SOẠN P.TH QUÂN 7 TP.HCM,100 m²,"Quận 7, Hồ Chí Minh"
,CHÍNH CHỦ CẦN BÁN KIOT VÀ PHÒNG TRỌ THUẬN GIAO THUẬN AN BÌNH DƯƠNG,300 m²,"Thị xã Thuận An, Bình Dương"
,BÁN CHUYỂN NHƯỢNG LK 1.47 VÀ 1.48 DỰ ÁN HẢI QUÂN TAM GIANG KHI VSIP TRIỂN KHAI TĂNG GIÁ CỰC NHANH,100 m²,"Huyện Yên Phong, Bắc Ninh"
,Chính Chủ Cần Bán Đất Mặt Tiền Tại Hóc Môn Giá bán: 52 tỷ,KXĐ,"Huyện Hóc Môn, Hồ Chí Minh"
,"BÁN GẤP NHÀ KIM GIANG, PHÂN LÔ, Ô TÔ TRÁNH, KINH DOANH, THANG MÁY CHỜ, 75m2x5t, GIÁ CHỈ NHỈNH 12 TỶ.",72 m²,"Quận Hoàng Mai, Hà Nội"
,"BÁN NHÀ MẶT PHỐ NGỌC THỤY 65M, 5T, MẶT TIỀN 4m, Nhỉnh 7 tỷ, ÔTÔ TRÁNH, KINH DOANH VÔ ĐỊCH",60 m²,"Quận Long Biên, Hà Nội"
,"Bán nhà Xuân La, Tây Hồ: 70m2, 5 tầng, MT: 4,2m, KD, ô tô tránh, 12 tỷ. LH: 0944828386",70 m²,"Quận Tây Hồ, Hà Nội"
,Chính chủ cần bán nhà mặt đường tại Hải Phòng Giá : Thỏa thuận,154 m²,"Quận Kiến An, Hải Phòng"
,"Hiếm Bán nhà Mặt tiền 6M nở hậu 7M Phạm Văn Bạch, TB 115m2 chỉ 10 Tỷ",115 m²,"Quận Tân Bình, Hồ Chí Minh"
,10x20 gần trung tâm hành chính thích hợp đầu tư và phát triển,200 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,Đất Sổ Hồng Riêng Ngay Sau Lưng Chợ An Bình Chỉ Cần 350 Triệu Nhận Nền,100 m²,"Thành phố Biên Hòa, Đồng Nai"
,"CUỐI NĂM TẬU ĐẤT, SANG NĂM CẤT NHÀ",100 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,".+ NHÀ ĐẸP, NGUYỄN KHOÁI, HAI BÀ TRƯNG.",43 m²,"Quận Hai Bà Trưng, Hà Nội"
,+ SÁT MẶT PHỐ - DIỆN TÍCH LỚN - GIÁ TỐT  - THANH XUÂN - Ô TÔ ĐỖ CỬA.,40 m²,"Quận Thanh Xuân, Hà Nội"
,".+ NHÀ ĐẸP, NGUYỄN KHOÁI, HAI BÀ TRƯNG.",43 m²,"Quận Hai Bà Trưng, Hà Nội"
,"+ NHÀ ĐẸP VŨ TÔNG PHAN, THANH XUÂN - CÁCH MẶT PHỐ 50M -   NGÕ BA GÁC ĐUA.",31 m²,"Quận Thanh Xuân, Hà Nội"
,ĐẤT GẦN BIỂN GẦN SÂN BAY GIÁ HẤP DẪN DỂ ĐẦU TƯ Ở BÌNH THUẬN,3000 m²,"Huyện Bắc Bình, Bình Thuận"
,"Cần bán nhà phố Nguyễn Đức Cảnh,Hoàng Mai,HN,36m2,mt 4m,ô tô đỗ cửa,giá hơn 1 tỷ,84962668803.",36 m²,"Quận Hoàng Mai, Hà Nội"
,"25ha Đất đẹp đầu tư nghi dưỡng, địa thế đẹp viu đẹp.",25000 m²,"Huyện Kim Bôi, Hòa Bình"
,"BÁN GẤP NHÀ ĐẸP 1 TRỆT 1 LẦU, P.LONG TRƯỜNG THOÁNG MÁT,SHR,",89 m²,"Quận 9, Hồ Chí Minh"
,Dự án ngập tràn quà tặng BLACK FRIDAY,5214 m²,"Quận Nam Từ Liêm, Hà Nội"
,cần bán căn hộ tại hải dương (LH 0986.197.165 TRUNG),63 m²,"Thành Phố Hải Dương, Hải Dương"
,CẦN TIỀN BÁN NHANH LÔ ĐẤT TẠI MINH KHAI Ô TÔ VÀO NHÀ,35 m²,"Quận Bắc Từ Liêm, Hà Nội"
,NHỈNH 4 TỶ - NGÕ RỘNG 3M RA Ô TÔ - ĐI BỘ VÀI BƯỚC RA HỒ TÂY - NHÀ MỚI ĐẸP Ở NGAY,31 m²,"Quận Tây Hồ, Hà Nội"
,"Nhà phố biệt thự liền kề La Villa Green City, 1 trệt 2 lầu, diện tích 5x20",100 m²,"Thị Xã Tân An, Long An"
," Chính chủ bán nhà ngõ 337 Phố Định Công, Quận Hoàng Mai, Hà Nội",30 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán đất Vườn Lài , An Phú Đông , Quận 12 . 3116m2 . 21 Tỷ",3116 m²,"Quận 12, Hồ Chí Minh"
,"Bán Gấp Đất TL08 Tân Thạnh Tây , Củ Chi .6,95 Tỷ",1245 m²,"Huyện Củ Chi, Hồ Chí Minh"
,"Bán nhà Đường 13 Lâm Văn Bền , Quận 7 . 10,5 Tỷ",64 m²,"Quận 7, Hồ Chí Minh"
,"Bán nhà 2 mặt hẻm xe hơi  Đường Dương Thị Mười, Phường Tân Thới Hiệp, Quận 12 . 3,6 Tỷ",55 m²,"Quận 12, Hồ Chí Minh"
,NHÀ MỚI XÂY KIỆT OTO THÍCH TỊNH KHIẾT SIÊU ĐẸP GIÁ RẺ,112 m²,"Thành Phố Huế, Thừa Thiên Huế"
,"Bán Gấp Nhà Đông Bắc , P TCH , Quận 12 . 3,6 Tỷ",64 m²,"Quận 12, Hồ Chí Minh"
,"Mở bán đợt 1 Khu phức hợp Căn hộ & Thương mại, Kế bên Vincom Thủ Đức_ 0943494338",60 m²,"Quận Thủ Đức, Hồ Chí Minh"
,Siêu phẩm nhà phố Q12,60 m²,"Quận 12, Hồ Chí Minh"
,Chất-rẻ!!!Bán nhà cũ 4 tầng mặt phố Phan Đình Giót-Hà Đông-gara ô tô-kinh doanh khủng-75m2-6.5tỷ,75 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà 5 tầng dịch vụ Xa La,Hà Đông,nội thất xịn,mặt chợ,gần trục chính,50m2,6.6tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà mặt phố Trích Sài, Tây Hồ: 40m, 7 tầng, View đẹp. Giá: 15,5 tỷ. LH: 0944828386",40 m²,"Quận Tây Hồ, Hà Nội"
,"Bán đất ngõ 656 Lạc Long Quân, Tây Hồ: 286m, MT: 12m, Giá: 32 tỷ. LH: 0944828386",286 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà phố Trịnh Công Sơn, Tây Hồ: 84m, 6 tầng, giá: 15 tỷ. LH: 0944828386",84 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà phố Trịnh Công Sơn, Tây Hồ: 35m, 7 tầng, MT: 4,5m. Giá: 6,8 tỷ.  LH: 0944828386",35 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà ngõ 569 Lạc Long Quân, Tây Hồ: 50m, MT: 4,2m. Giá: 5,9 tỷ. Lh: 0944828386",50 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà ngõ 569 Lạc Long Quân, Tây Hồ: 50m, MT: 4,2m. Giá: 5,9 tỷ. ",50 m²,"Quận Tây Hồ, Hà Nội"
,"Bán đất mặt phố Vũ Tông Phan, Thanh xuân: 68m, MT: 4,2m. Giá: 12,9 tỷ. LH: 0944828386",68 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán đất Trần Quang Diệu, Đống Đa: 38m, MT: 4m. Giá: 3 tỷ. LH: 0944828386",38 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt phố Nhật Chiêu, Tây Hồ: 82m, 6 Tầng, MT: 4,8m. Gía: 41 tỷ. LH: 0944828386",82 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà mặt phố Linh Lang, ba đình: 45m, 5 T, MT: 6,1m. Giá: 12,5 tỷ. 0944828386",45 m²,"Quận Ba Đình, Hà Nội"
,"Bán khu Resort family Ba Vì. Diện tích: 2.500m, đã quy hoạch hoàn thiện. Giá: 25 tỷ. LH: 0944828386",12500 m²,"Huyện Ba Vì, Hà Nội"
,"Bán khu Resort family Ba Vì. Diện tích: 2.500m, đã quy hoạch hoàn thiện. Giá: 25 tỷ. LH: 0944828386",12500 m²,"Huyện Ba Vì, Hà Nội"
,"Bán nhà mặt phố Lê Duẩn, Hoàn Kiếm: 68m, 2 tầng: Giá: 3,8 tỷ. LH: 0944828386",68 m²,"Quận Hoàn Kiếm, Hà Nội"
,"Bán nhà phân lô Hào Nam, Đống Đa. 60m, 5 Tầng, MT: 4,2m. 13,8 tỷ. LH 0944828386",60 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà mặt ngõ Thịnh Hào 1, Tôn Đức Thắng, Đống Đa: 72m, lô góc, MT: 16m. Giá: 14,7 tỷ.0944828386",72 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà Nguyễn Lương Bằng, đống đa: 25m, 4 tầng, MT: 5m. Giá: 2,3 tỷ. LH: 0944828386",25 m²,"Quận Đống Đa, Hà Nội"
,"Bán nhà đất mặt phố đường bưởi, Ba Đình: 60m, MT: 5m. Giá: 12 tỷ.LH: 0944828386",60 m²,"Quận Tây Hồ, Hà Nội"
,"Bán đất mặt phố Phạm Văn Đồng, Bắc Từ Liêm: 155m, MT: 9,3m. Giá: 35,5 tỷ. ",155 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Bán đất mặt phố Nhật Chiêu, Tây Hồ: 207m, MT: 7m. Giá: 61 tỷ. LH: 0944828386",207 m²,"Quận Tây Hồ, Hà Nội"
,"Bán mặt phố Phạm Văn Đồng, Bắc Từ Liêm: 120m. MT: 6,5m. Giá: 23 tỷ. LH: 0944828386",120 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Bán đất Mặt Tiền Xuân Thới Sơn 8 . Hốc Môn . 11,38 Tỷ . ",849 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán Nhà Phạm Văn Chiêu , P 12 , Gò Vấp . 98m2 . 7,35 Tỷ",98 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Bán nhà Hẻm 6m Phạm Văn Chiêu . P 14 . Gò Vấp . 7 Tỷ ,80 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán gấp nhà Mặt Tiền nội bộ Số 5 Lê Đức Thọ , P 15 , Gò Vấp . 98m2 . Chỉ có 7,1 Tỷ",98 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Cần bán dãy nhà trọ TX6 xã Tân Xuân Hóc Môn . 4,5 Tỷ",160 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Hot Hot Nhà 2 mặt tiền giá rẻ Nguyễn Thái Sơn, P5, Gò Vấp 5,65 Tỷ",75 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Nhà bán 2 Mặt Tiền Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12 . 7,75 Tỷ",88 m²,"Quận 12, Hồ Chí Minh"
